first_name,last_name,Actor_Name
PENELOPE,GUINESS,"PENELOPE GUINESS"
NICK,WAHLBERG,"NICK WAHLBERG"
ED,CHASE,"ED CHASE"
JENNIFER,DAVIS,"JENNIFER DAVIS"
JOHNNY,LOLLOBRIGIDA,"JOHNNY LOLLOBRIGIDA"
BETTE,NICHOLSON,"BETTE NICHOLSON"
GRACE,MOSTEL,"GRACE MOSTEL"
MATTHEW,JOHANSSON,"MATTHEW JOHANSSON"
JOE,SWANK,"JOE SWANK"
CHRISTIAN,GABLE,"CHRISTIAN GABLE"
ZERO,CAGE,"ZERO CAGE"
KARL,BERRY,"KARL BERRY"
UMA,WOOD,"UMA WOOD"
VIVIEN,BERGEN,"VIVIEN BERGEN"
CUBA,OLIVIER,"CUBA OLIVIER"
FRED,COSTNER,"FRED COSTNER"
HELEN,VOIGHT,"HELEN VOIGHT"
DAN,TORN,"DAN TORN"
BOB,FAWCETT,"BOB FAWCETT"
LUCILLE,TRACY,"LUCILLE TRACY"
KIRSTEN,PALTROW,"KIRSTEN PALTROW"
ELVIS,MARX,"ELVIS MARX"
SANDRA,KILMER,"SANDRA KILMER"
CAMERON,STREEP,"CAMERON STREEP"
KEVIN,BLOOM,"KEVIN BLOOM"
RIP,CRAWFORD,"RIP CRAWFORD"
JULIA,MCQUEEN,"JULIA MCQUEEN"
WOODY,HOFFMAN,"WOODY HOFFMAN"
ALEC,WAYNE,"ALEC WAYNE"
SANDRA,PECK,"SANDRA PECK"
SISSY,SOBIESKI,"SISSY SOBIESKI"
TIM,HACKMAN,"TIM HACKMAN"
MILLA,PECK,"MILLA PECK"
AUDREY,OLIVIER,"AUDREY OLIVIER"
JUDY,DEAN,"JUDY DEAN"
BURT,DUKAKIS,"BURT DUKAKIS"
VAL,BOLGER,"VAL BOLGER"
TOM,MCKELLEN,"TOM MCKELLEN"
GOLDIE,BRODY,"GOLDIE BRODY"
JOHNNY,CAGE,"JOHNNY CAGE"
JODIE,DEGENERES,"JODIE DEGENERES"
TOM,MIRANDA,"TOM MIRANDA"
KIRK,JOVOVICH,"KIRK JOVOVICH"
NICK,STALLONE,"NICK STALLONE"
REESE,KILMER,"REESE KILMER"
PARKER,GOLDBERG,"PARKER GOLDBERG"
JULIA,BARRYMORE,"JULIA BARRYMORE"
FRANCES,DAY-LEWIS,"FRANCES DAY-LEWIS"
ANNE,CRONYN,"ANNE CRONYN"
NATALIE,HOPKINS,"NATALIE HOPKINS"
GARY,PHOENIX,"GARY PHOENIX"
CARMEN,HUNT,"CARMEN HUNT"
MENA,TEMPLE,"MENA TEMPLE"
PENELOPE,PINKETT,"PENELOPE PINKETT"
FAY,KILMER,"FAY KILMER"
DAN,HARRIS,"DAN HARRIS"
JUDE,CRUISE,"JUDE CRUISE"
CHRISTIAN,AKROYD,"CHRISTIAN AKROYD"
DUSTIN,TAUTOU,"DUSTIN TAUTOU"
HENRY,BERRY,"HENRY BERRY"
CHRISTIAN,NEESON,"CHRISTIAN NEESON"
JAYNE,NEESON,"JAYNE NEESON"
CAMERON,WRAY,"CAMERON WRAY"
RAY,JOHANSSON,"RAY JOHANSSON"
ANGELA,HUDSON,"ANGELA HUDSON"
MARY,TANDY,"MARY TANDY"
JESSICA,BAILEY,"JESSICA BAILEY"
RIP,WINSLET,"RIP WINSLET"
KENNETH,PALTROW,"KENNETH PALTROW"
MICHELLE,MCCONAUGHEY,"MICHELLE MCCONAUGHEY"
ADAM,GRANT,"ADAM GRANT"
SEAN,WILLIAMS,"SEAN WILLIAMS"
GARY,PENN,"GARY PENN"
MILLA,KEITEL,"MILLA KEITEL"
BURT,POSEY,"BURT POSEY"
ANGELINA,ASTAIRE,"ANGELINA ASTAIRE"
CARY,MCCONAUGHEY,"CARY MCCONAUGHEY"
GROUCHO,SINATRA,"GROUCHO SINATRA"
MAE,HOFFMAN,"MAE HOFFMAN"
RALPH,CRUZ,"RALPH CRUZ"
SCARLETT,DAMON,"SCARLETT DAMON"
WOODY,JOLIE,"WOODY JOLIE"
BEN,WILLIS,"BEN WILLIS"
JAMES,PITT,"JAMES PITT"
MINNIE,ZELLWEGER,"MINNIE ZELLWEGER"
GREG,CHAPLIN,"GREG CHAPLIN"
SPENCER,PECK,"SPENCER PECK"
KENNETH,PESCI,"KENNETH PESCI"
CHARLIZE,DENCH,"CHARLIZE DENCH"
SEAN,GUINESS,"SEAN GUINESS"
CHRISTOPHER,BERRY,"CHRISTOPHER BERRY"
